Edge { left: 3331, right: 9408, weight: Weight(533) }
Edge { left: 960, right: 3331, weight: Weight(298) }
Edge { left: 3331, right: 6339, weight: Weight(542) }
Edge { left: 2803, right: 6339, weight: Weight(227) }
Edge { left: 3648, right: 7535, weight: Weight(739) }
Edge { left: 1097, right: 2803, weight: Weight(1016) }
Edge { left: 1097, right: 4196, weight: Weight(81) }
Edge { left: 1097, right: 9886, weight: Weight(310) }
Edge { left: 5284, right: 9886, weight: Weight(361) }
Edge { left: 4790, right: 5284, weight: Weight(128) }
Edge { left: 2325, right: 5284, weight: Weight(483) }
Edge { left: 3548, right: 4196, weight: Weight(522) }
Edge { left: 4736, right: 4790, weight: Weight(774) }
Edge { left: 3548, right: 7233, weight: Weight(860) }
Edge { left: 7233, right: 7434, weight: Weight(626) }
Edge { left: 2643, right: 7434, weight: Weight(696) }
Edge { left: 199, right: 7434, weight: Weight(701) }
Edge { left: 1796, right: 7233, weight: Weight(735) }
Edge { left: 2643, right: 7685, weight: Weight(804) }
Edge { left: 1211, right: 7685, weight: Weight(428) }
Edge { left: 1796, right: 6768, weight: Weight(959) }
Edge { left: 2045, right: 6882, weight: Weight(1078) }
Edge { left: 2325, right: 9430, weight: Weight(1088) }
Edge { left: 9430, right: 9891, weight: Weight(961) }
Edge { left: 3120, right: 7211, weight: Weight(1089) }
Edge { left: 3766, right: 7211, weight: Weight(238) }
Edge { left: 6745, right: 7211, weight: Weight(775) }
Edge { left: 3766, right: 4639, weight: Weight(798) }
Edge { left: 3766, right: 5271, weight: Weight(859) }
Edge { left: 4801, right: 5271, weight: Weight(264) }
Edge { left: 4801, right: 5304, weight: Weight(750) }
Edge { left: 826, right: 5304, weight: Weight(629) }
Edge { left: 826, right: 9975, weight: Weight(400) }
Edge { left: 3975, right: 9975, weight: Weight(345) }
Edge { left: 258, right: 4735, weight: Weight(1111) }
Edge { left: 258, right: 3939, weight: Weight(254) }
Edge { left: 258, right: 3119, weight: Weight(301) }
Edge { left: 1340, right: 3939, weight: Weight(712) }
Edge { left: 2296, right: 8535, weight: Weight(1121) }
Edge { left: 3678, right: 8535, weight: Weight(801) }
Edge { left: 53, right: 3678, weight: Weight(1065) }
Edge { left: 53, right: 9916, weight: Weight(342) }
Edge { left: 4739, right: 9916, weight: Weight(183) }
Edge { left: 53, right: 2324, weight: Weight(716) }
Edge { left: 2324, right: 9567, weight: Weight(580) }
Edge { left: 7587, right: 9567, weight: Weight(829) }
Edge { left: 4282, right: 7587, weight: Weight(185) }
Edge { left: 4282, right: 8566, weight: Weight(221) }
Edge { left: 8566, right: 9721, weight: Weight(636) }
Edge { left: 3326, right: 9721, weight: Weight(446) }
Edge { left: 4673, right: 9721, weight: Weight(878) }
Edge { left: 3326, right: 8729, weight: Weight(923) }
Edge { left: 809, right: 8729, weight: Weight(421) }
Edge { left: 6300, right: 8729, weight: Weight(524) }
Edge { left: 6300, right: 8099, weight: Weight(548) }
Edge { left: 4903, right: 8099, weight: Weight(597) }
Edge { left: 2640, right: 8099, weight: Weight(627) }
Edge { left: 529, right: 2640, weight: Weight(769) }
Edge { left: 529, right: 4391, weight: Weight(589) }
Edge { left: 529, right: 1655, weight: Weight(668) }
Edge { left: 529, right: 7969, weight: Weight(803) }
Edge { left: 2928, right: 7969, weight: Weight(226) }
Edge { left: 2178, right: 2928, weight: Weight(195) }
Edge { left: 366, right: 7969, weight: Weight(599) }
Edge { left: 4903, right: 8692, weight: Weight(830) }
Edge { left: 2928, right: 7838, weight: Weight(927) }
Edge { left: 6238, right: 7838, weight: Weight(846) }
Edge { left: 6238, right: 7613, weight: Weight(513) }
Edge { left: 257, right: 7613, weight: Weight(294) }
Edge { left: 257, right: 5781, weight: Weight(689) }
Edge { left: 6565, right: 7613, weight: Weight(811) }
Edge { left: 5781, right: 7475, weight: Weight(883) }
Edge { left: 4862, right: 7475, weight: Weight(498) }
Edge { left: 9567, right: 9756, weight: Weight(975) }
Edge { left: 1707, right: 9756, weight: Weight(494) }
Edge { left: 1707, right: 4697, weight: Weight(278) }
Edge { left: 4697, right: 8317, weight: Weight(522) }
Edge { left: 5026, right: 8317, weight: Weight(175) }
Edge { left: 5026, right: 8833, weight: Weight(725) }
Edge { left: 6290, right: 8833, weight: Weight(110) }
Edge { left: 6290, right: 8117, weight: Weight(827) }
Edge { left: 610, right: 8833, weight: Weight(908) }
Edge { left: 4845, right: 4903, weight: Weight(985) }
Edge { left: 610, right: 9282, weight: Weight(988) }
Edge { left: 3912, right: 4739, weight: Weight(1009) }
Edge { left: 3912, right: 4293, weight: Weight(963) }
Edge { left: 4293, right: 8853, weight: Weight(553) }
Edge { left: 8695, right: 8853, weight: Weight(973) }
Edge { left: 2580, right: 8695, weight: Weight(1060) }
Edge { left: 2580, right: 5189, weight: Weight(593) }
Edge { left: 4295, right: 5189, weight: Weight(874) }
Edge { left: 5189, right: 7352, weight: Weight(909) }
Edge { left: 7352, right: 9895, weight: Weight(211) }
Edge { left: 1508, right: 9282, weight: Weight(1076) }
Edge { left: 1508, right: 6705, weight: Weight(647) }
Edge { left: 6705, right: 7731, weight: Weight(386) }
Edge { left: 2458, right: 7731, weight: Weight(280) }
Edge { left: 2458, right: 5743, weight: Weight(139) }
Edge { left: 6705, right: 7677, weight: Weight(437) }
Edge { left: 5743, right: 7222, weight: Weight(676) }
Edge { left: 7135, right: 7222, weight: Weight(414) }
Edge { left: 891, right: 7135, weight: Weight(246) }
Edge { left: 7677, right: 8076, weight: Weight(778) }
Edge { left: 6646, right: 8076, weight: Weight(331) }
