Edge { left: 277, right: 632, weight: Weight(2336)
Edge { left: 472, right: 716, weight: Weight(2485)
Edge { left: 649, right: 716, weight: Weight(1729)
Edge { left: 943, right: 945, weight: Weight(2586)
Edge { left: 115, right: 771, weight: Weight(2861)
Edge { left: 299, right: 771, weight: Weight(795)
Edge { left: 127, right: 299, weight: Weight(1784)
Edge { left: 127, right: 629, weight: Weight(1688)
Edge { left: 341, right: 629, weight: Weight(1881)
Edge { left: 127, right: 498, weight: Weight(2144)
Edge { left: 341, right: 760, weight: Weight(3003)
Edge { left: 749, right: 760, weight: Weight(1570)
Edge { left: 740, right: 749, weight: Weight(2577)
Edge { left: 46, right: 525, weight: Weight(3412)
Edge { left: 165, right: 968, weight: Weight(3520)
Edge { left: 165, right: 394, weight: Weight(1637)
Edge { left: 302, right: 394, weight: Weight(674)
Edge { left: 165, right: 444, weight: Weight(1702)
Edge { left: 444, right: 518, weight: Weight(2088)
Edge { left: 302, right: 963, weight: Weight(2431)
Edge { left: 165, right: 195, weight: Weight(2556)
Edge { left: 114, right: 518, weight: Weight(2752)
Edge { left: 114, right: 608, weight: Weight(1214)
Edge { left: 608, right: 654, weight: Weight(2109)
Edge { left: 585, right: 654, weight: Weight(1576)
Edge { left: 756, right: 963, weight: Weight(2984)
Edge { left: 354, right: 756, weight: Weight(1104)
Edge { left: 195, right: 388, weight: Weight(3115)
Edge { left: 178, right: 388, weight: Weight(2609)
Edge { left: 178, right: 459, weight: Weight(2420)
Edge { left: 148, right: 459, weight: Weight(459)
Edge { left: 51, right: 459, weight: Weight(524)
Edge { left: 148, right: 921, weight: Weight(1908)
Edge { left: 921, right: 989, weight: Weight(2107)
Edge { left: 304, right: 989, weight: Weight(3035)
Edge { left: 194, right: 304, weight: Weight(535)
Edge { left: 304, right: 851, weight: Weight(2097)
Edge { left: 467, right: 851, weight: Weight(1482)
Edge { left: 590, right: 851, weight: Weight(1820)
Edge { left: 467, right: 910, weight: Weight(2055)
Edge { left: 910, right: 976, weight: Weight(1405)
Edge { left: 831, right: 976, weight: Weight(2274)
Edge { left: 812, right: 831, weight: Weight(1970)
Edge { left: 202, right: 812, weight: Weight(2047)
Edge { left: 18, right: 202, weight: Weight(817)
Edge { left: 18, right: 539, weight: Weight(1009)
Edge { left: 681, right: 831, weight: Weight(2144)
Edge { left: 303, right: 590, weight: Weight(2448)
Edge { left: 288, right: 303, weight: Weight(816)
Edge { left: 354, right: 447, weight: Weight(3170)
Edge { left: 89, right: 447, weight: Weight(2883)
Edge { left: 89, right: 491, weight: Weight(1243)
Edge { left: 291, right: 491, weight: Weight(1067)
Edge { left: 291, right: 704, weight: Weight(1655)
Edge { left: 704, right: 904, weight: Weight(1174)
Edge { left: 402, right: 904, weight: Weight(1234)
Edge { left: 402, right: 423, weight: Weight(1009)
Edge { left: 704, right: 819, weight: Weight(2229)
Edge { left: 723, right: 819, weight: Weight(1077)
Edge { left: 723, right: 990, weight: Weight(1353)
Edge { left: 671, right: 990, weight: Weight(1763)
Edge { left: 946, right: 990, weight: Weight(1906)
Edge { left: 278, right: 946, weight: Weight(1761)
Edge { left: 671, right: 923, weight: Weight(2098)
Edge { left: 385, right: 671, weight: Weight(2191)
Edge { left: 278, right: 507, weight: Weight(2193)
Edge { left: 418, right: 507, weight: Weight(1680)
Edge { left: 418, right: 846, weight: Weight(1801)
Edge { left: 574, right: 846, weight: Weight(999)
Edge { left: 690, right: 846, weight: Weight(2629)
Edge { left: 77, right: 690, weight: Weight(2185)
Edge { left: 77, right: 816, weight: Weight(2268)
Edge { left: 306, right: 816, weight: Weight(500)
Edge { left: 252, right: 306, weight: Weight(1065)
Edge { left: 252, right: 700, weight: Weight(1861)
Edge { left: 6, right: 77, weight: Weight(2295)
Edge { left: 191, right: 700, weight: Weight(2768)
Edge { left: 191, right: 482, weight: Weight(1562)
